,FR_Confirmed,FR_Deaths,FR_Recovered,FR_Active,Date
457,271,4,117,150,2020-04-19 00:00:00+00:00
458,18,0,15,3,2020-04-19 00:00:00+00:00
459,408,0,237,171,2020-04-19 00:00:00+00:00
460,6,0,5,1,2020-04-19 00:00:00+00:00
461,1,0,0,1,2020-04-19 00:00:00+00:00
462,37,2,19,16,2020-04-19 00:00:00+00:00
463,154188,20240,36782,97166,2020-04-20 00:00:00+00:00
464,97,1,69,27,2020-04-20 00:00:00+00:00
465,56,0,19,37,2020-04-20 00:00:00+00:00
466,148,8,73,67,2020-04-20 00:00:00+00:00
467,163,12,73,78,2020-04-20 00:00:00+00:00
468,271,4,117,150,2020-04-20 00:00:00+00:00
469,18,0,15,3,2020-04-20 00:00:00+00:00
470,408,0,237,171,2020-04-20 00:00:00+00:00
471,6,0,5,1,2020-04-20 00:00:00+00:00
472,1,0,0,1,2020-04-20 00:00:00+00:00
473,37,2,19,16,2020-04-20 00:00:00+00:00
474,156921,20765,38543,97613,2020-04-21 00:00:00+00:00
475,97,1,76,20,2020-04-21 00:00:00+00:00
476,56,0,19,37,2020-04-21 00:00:00+00:00
477,148,12,73,63,2020-04-21 00:00:00+00:00
478,163,14,73,76,2020-04-21 00:00:00+00:00
479,311,4,117,190,2020-04-21 00:00:00+00:00
480,18,0,17,1,2020-04-21 00:00:00+00:00
481,410,0,238,172,2020-04-21 00:00:00+00:00
482,6,0,6,0,2020-04-21 00:00:00+00:00
483,1,0,0,1,2020-04-21 00:00:00+00:00
484,37,2,19,16,2020-04-21 00:00:00+00:00
485,154715,21309,39988,93418,2020-04-22 00:00:00+00:00
486,97,1,83,13,2020-04-22 00:00:00+00:00
487,57,0,35,22,2020-04-22 00:00:00+00:00
488,148,12,73,63,2020-04-22 00:00:00+00:00
489,164,14,73,77,2020-04-22 00:00:00+00:00
490,326,4,125,197,2020-04-22 00:00:00+00:00
491,18,0,17,1,2020-04-22 00:00:00+00:00
492,410,0,238,172,2020-04-22 00:00:00+00:00
493,6,0,6,0,2020-04-22 00:00:00+00:00
494,1,0,0,1,2020-04-22 00:00:00+00:00
495,38,2,19,17,2020-04-22 00:00:00+00:00
496,157026,21825,41414,93787,2020-04-23 00:00:00+00:00
497,107,1,84,22,2020-04-23 00:00:00+00:00
498,57,0,36,21,2020-04-23 00:00:00+00:00
499,148,12,76,60,2020-04-23 00:00:00+00:00
500,164,14,73,77,2020-04-23 00:00:00+00:00
501,326,4,125,197,2020-04-23 00:00:00+00:00
502,18,0,17,1,2020-04-23 00:00:00+00:00
503,412,0,238,174,2020-04-23 00:00:00+00:00
504,6,0,6,0,2020-04-23 00:00:00+00:00
505,1,0,0,1,2020-04-23 00:00:00+00:00
506,38,2,19,17,2020-04-23 00:00:00+00:00
