,NL_Confirmed,NL_Deaths,NL_Recovered,NL_Active,Date
374,6,0,6,0,2020-05-29 00:00:00+00:00
375,18,1,14,3,2020-05-29 00:00:00+00:00
376,77,15,60,2,2020-05-29 00:00:00+00:00
377,46257,5951,0,40306,2020-05-30 00:00:00+00:00
378,101,3,98,0,2020-05-30 00:00:00+00:00
379,6,0,6,0,2020-05-30 00:00:00+00:00
380,19,1,14,4,2020-05-30 00:00:00+00:00
381,77,15,60,2,2020-05-30 00:00:00+00:00
382,46442,5956,0,40486,2020-05-31 00:00:00+00:00
383,101,3,98,0,2020-05-31 00:00:00+00:00
384,6,0,6,0,2020-05-31 00:00:00+00:00
385,19,1,14,4,2020-05-31 00:00:00+00:00
386,77,15,60,2,2020-05-31 00:00:00+00:00
387,46545,5962,0,40583,2020-06-01 00:00:00+00:00
388,101,3,98,0,2020-06-01 00:00:00+00:00
389,7,0,7,0,2020-06-01 00:00:00+00:00
390,19,1,14,4,2020-06-01 00:00:00+00:00
391,77,15,60,2,2020-06-01 00:00:00+00:00
392,46647,5967,0,40680,2020-06-02 00:00:00+00:00
393,101,3,98,0,2020-06-02 00:00:00+00:00
394,7,0,7,0,2020-06-02 00:00:00+00:00
395,20,1,15,4,2020-06-02 00:00:00+00:00
396,77,15,60,2,2020-06-02 00:00:00+00:00
397,46733,5977,0,40756,2020-06-03 00:00:00+00:00
398,101,3,98,0,2020-06-03 00:00:00+00:00
399,7,0,7,0,2020-06-03 00:00:00+00:00
400,21,1,15,5,2020-06-03 00:00:00+00:00
401,77,15,60,2,2020-06-03 00:00:00+00:00
402,46942,5990,0,40952,2020-06-04 00:00:00+00:00
403,101,3,98,0,2020-06-04 00:00:00+00:00
404,7,0,7,0,2020-06-04 00:00:00+00:00
405,21,1,15,5,2020-06-04 00:00:00+00:00
406,77,15,60,2,2020-06-04 00:00:00+00:00
407,47152,6005,0,41147,2020-06-05 00:00:00+00:00
408,101,3,98,0,2020-06-05 00:00:00+00:00
409,7,0,7,0,2020-06-05 00:00:00+00:00
410,21,1,15,5,2020-06-05 00:00:00+00:00
411,77,15,61,1,2020-06-05 00:00:00+00:00
412,47335,6011,0,41324,2020-06-06 00:00:00+00:00
413,101,3,98,0,2020-06-06 00:00:00+00:00
