,GB_Confirmed,GB_Deaths,GB_Recovered,GB_Active,Date
288,78991,11599,344,67048,2020-04-11 00:00:00+00:00
289,3,0,0,3,2020-04-11 00:00:00+00:00
290,48,4,25,19,2020-04-11 00:00:00+00:00
291,3,0,2,1,2020-04-11 00:00:00+00:00
292,45,1,6,38,2020-04-11 00:00:00+00:00
293,407,9,48,350,2020-04-11 00:00:00+00:00
294,5,0,1,4,2020-04-11 00:00:00+00:00
295,129,0,84,45,2020-04-11 00:00:00+00:00
296,226,2,112,112,2020-04-11 00:00:00+00:00
297,9,0,0,9,2020-04-11 00:00:00+00:00
298,8,1,0,7,2020-04-11 00:00:00+00:00
299,84279,12285,344,71650,2020-04-12 00:00:00+00:00
300,3,0,0,3,2020-04-12 00:00:00+00:00
301,57,4,29,24,2020-04-12 00:00:00+00:00
302,3,0,2,1,2020-04-12 00:00:00+00:00
303,53,1,6,46,2020-04-12 00:00:00+00:00
304,431,9,48,374,2020-04-12 00:00:00+00:00
305,5,0,1,4,2020-04-12 00:00:00+00:00
306,129,0,84,45,2020-04-12 00:00:00+00:00
307,228,2,112,114,2020-04-12 00:00:00+00:00
308,9,0,0,9,2020-04-12 00:00:00+00:00
309,9,1,0,8,2020-04-12 00:00:00+00:00
310,88621,13029,0,75592,2020-04-13 00:00:00+00:00
311,3,0,1,2,2020-04-13 00:00:00+00:00
312,57,5,30,22,2020-04-13 00:00:00+00:00
313,3,0,2,1,2020-04-13 00:00:00+00:00
314,53,1,6,46,2020-04-13 00:00:00+00:00
315,436,9,48,379,2020-04-13 00:00:00+00:00
316,5,0,1,4,2020-04-13 00:00:00+00:00
317,129,0,84,45,2020-04-13 00:00:00+00:00
318,242,2,131,109,2020-04-13 00:00:00+00:00
319,11,0,1,10,2020-04-13 00:00:00+00:00
320,10,1,0,9,2020-04-13 00:00:00+00:00
321,93873,14073,0,79800,2020-04-14 00:00:00+00:00
322,3,0,1,2,2020-04-14 00:00:00+00:00
323,57,5,30,22,2020-04-14 00:00:00+00:00
324,3,0,2,1,2020-04-14 00:00:00+00:00
325,54,1,6,47,2020-04-14 00:00:00+00:00
326,440,13,48,379,2020-04-14 00:00:00+00:00
327,11,0,1,10,2020-04-14 00:00:00+00:00
328,129,0,93,36,2020-04-14 00:00:00+00:00
329,254,2,141,111,2020-04-14 00:00:00+00:00
330,11,0,1,10,2020-04-14 00:00:00+00:00
331,10,1,0,9,2020-04-14 00:00:00+00:00
332,98476,14915,0,83561,2020-04-15 00:00:00+00:00
333,3,0,1,2,2020-04-15 00:00:00+00:00
334,81,5,33,43,2020-04-15 00:00:00+00:00
335,3,0,2,1,2020-04-15 00:00:00+00:00
336,54,1,6,47,2020-04-15 00:00:00+00:00
337,447,15,69,363,2020-04-15 00:00:00+00:00
338,11,0,1,10,2020-04-15 00:00:00+00:00
339,131,0,104,27,2020-04-15 00:00:00+00:00
340,256,4,151,101,2020-04-15 00:00:00+00:00
341,11,0,1,10,2020-04-15 00:00:00+00:00
342,10,1,0,9,2020-04-15 00:00:00+00:00
343,103093,15944,0,87149,2020-04-16 00:00:00+00:00
344,3,0,1,2,2020-04-16 00:00:00+00:00
345,81,5,33,43,2020-04-16 00:00:00+00:00
346,3,0,2,1,2020-04-16 00:00:00+00:00
347,60,1,6,53,2020-04-16 00:00:00+00:00
348,457,19,73,365,2020-04-16 00:00:00+00:00
349,11,0,1,10,2020-04-16 00:00:00+00:00
350,131,0,104,27,2020-04-16 00:00:00+00:00
351,284,4,154,126,2020-04-16 00:00:00+00:00
352,11,0,1,10,2020-04-16 00:00:00+00:00
353,11,1,0,10,2020-04-16 00:00:00+00:00
354,108692,16879,0,91813,2020-04-17 00:00:00+00:00
355,3,0,1,2,2020-04-17 00:00:00+00:00
356,83,5,35,43,2020-04-17 00:00:00+00:00
357,4,0,2,2,2020-04-17 00:00:00+00:00
358,61,1,7,53,2020-04-17 00:00:00+00:00
359,470,20,73,377,2020-04-17 00:00:00+00:00
360,11,0,1,10,2020-04-17 00:00:00+00:00
361,132,0,105,27,2020-04-17 00:00:00+00:00
362,291,4,169,118,2020-04-17 00:00:00+00:00
363,11,0,1,10,2020-04-17 00:00:00+00:00
364,11,1,0,10,2020-04-17 00:00:00+00:00
365,114217,17994,0,96223,2020-04-18 00:00:00+00:00
366,3,0,1,2,2020-04-18 00:00:00+00:00
367,83,5,35,43,2020-04-18 00:00:00+00:00
368,4,0,2,2,2020-04-18 00:00:00+00:00
369,61,1,7,53,2020-04-18 00:00:00+00:00
370,484,21,73,390,2020-04-18 00:00:00+00:00
371,11,0,3,8,2020-04-18 00:00:00+00:00
372,132,0,111,21,2020-04-18 00:00:00+00:00
373,297,6,180,111,2020-04-18 00:00:00+00:00
374,11,0,2,9,2020-04-18 00:00:00+00:00
375,11,1,0,10,2020-04-18 00:00:00+00:00
376,120067,18492,0,101575,2020-04-19 00:00:00+00:00
377,3,0,1,2,2020-04-19 00:00:00+00:00
378,86,5,35,46,2020-04-19 00:00:00+00:00
379,4,1,2,1,2020-04-19 00:00:00+00:00
380,61,1,7,53,2020-04-19 00:00:00+00:00
381,488,21,73,394,2020-04-19 00:00:00+00:00
382,11,0,3,8,2020-04-19 00:00:00+00:00
383,132,0,120,12,2020-04-19 00:00:00+00:00
384,298,6,193,99,2020-04-19 00:00:00+00:00
385,11,0,2,9,2020-04-19 00:00:00+00:00
386,11,1,0,10,2020-04-19 00:00:00+00:00
387,124743,19051,0,105692,2020-04-20 00:00:00+00:00
388,3,0,1,2,2020-04-20 00:00:00+00:00
389,86,5,37,44,2020-04-20 00:00:00+00:00
390,5,1,3,1,2020-04-20 00:00:00+00:00
391,66,1,7,58,2020-04-20 00:00:00+00:00
392,488,24,73,391,2020-04-20 00:00:00+00:00
393,11,0,3,8,2020-04-20 00:00:00+00:00
394,132,0,120,12,2020-04-20 00:00:00+00:00
395,300,9,200,91,2020-04-20 00:00:00+00:00
396,11,0,2,9,2020-04-20 00:00:00+00:00
397,11,1,0,10,2020-04-20 00:00:00+00:00
398,129044,20223,0,108821,2020-04-21 00:00:00+00:00
399,3,0,1,2,2020-04-21 00:00:00+00:00
400,86,5,37,44,2020-04-21 00:00:00+00:00
401,5,1,3,1,2020-04-21 00:00:00+00:00
402,66,1,7,58,2020-04-21 00:00:00+00:00
403,496,24,256,216,2020-04-21 00:00:00+00:00
404,11,0,3,8,2020-04-21 00:00:00+00:00
405,132,0,120,12,2020-04-21 00:00:00+00:00
406,307,9,209,89,2020-04-21 00:00:00+00:00
407,11,0,2,9,2020-04-21 00:00:00+00:00
408,11,1,0,10,2020-04-21 00:00:00+00:00
409,133495,21060,0,112435,2020-04-22 00:00:00+00:00
410,3,0,1,2,2020-04-22 00:00:00+00:00
411,99,5,39,55,2020-04-22 00:00:00+00:00
412,5,1,3,1,2020-04-22 00:00:00+00:00
413,66,1,7,58,2020-04-22 00:00:00+00:00
414,498,28,285,185,2020-04-22 00:00:00+00:00
415,11,0,3,8,2020-04-22 00:00:00+00:00
416,132,0,127,5,2020-04-22 00:00:00+00:00
417,307,15,212,80,2020-04-22 00:00:00+00:00
418,11,0,2,9,2020-04-22 00:00:00+00:00
419,11,1,4,6,2020-04-22 00:00:00+00:00
420,138078,21787,0,116291,2020-04-23 00:00:00+00:00
421,3,0,1,2,2020-04-23 00:00:00+00:00
422,99,5,39,55,2020-04-23 00:00:00+00:00
423,5,1,3,1,2020-04-23 00:00:00+00:00
424,66,1,7,58,2020-04-23 00:00:00+00:00
425,521,29,295,197,2020-04-23 00:00:00+00:00
426,12,0,11,1,2020-04-23 00:00:00+00:00
