,DK_Confirmed,DK_Deaths,DK_Recovered,DK_Active,Date
275,13,0,13,0,2020-06-05 00:00:00+00:00
276,11924,587,10721,616,2020-06-06 00:00:00+00:00
277,187,0,187,0,2020-06-06 00:00:00+00:00
278,13,0,13,0,2020-06-06 00:00:00+00:00
279,11948,589,10755,604,2020-06-07 00:00:00+00:00
280,187,0,187,0,2020-06-07 00:00:00+00:00
281,13,0,13,0,2020-06-07 00:00:00+00:00
282,11962,593,10792,577,2020-06-08 00:00:00+00:00
283,187,0,187,0,2020-06-08 00:00:00+00:00
284,13,0,13,0,2020-06-08 00:00:00+00:00
285,12001,593,10849,559,2020-06-09 00:00:00+00:00
286,187,0,187,0,2020-06-09 00:00:00+00:00
287,13,0,13,0,2020-06-09 00:00:00+00:00
288,12016,593,10904,519,2020-06-10 00:00:00+00:00
289,187,0,187,0,2020-06-10 00:00:00+00:00
290,13,0,13,0,2020-06-10 00:00:00+00:00
291,12035,593,10955,487,2020-06-11 00:00:00+00:00
292,187,0,187,0,2020-06-11 00:00:00+00:00
293,13,0,13,0,2020-06-11 00:00:00+00:00
294,12099,594,10993,512,2020-06-12 00:00:00+00:00
295,187,0,187,0,2020-06-12 00:00:00+00:00
296,13,0,13,0,2020-06-12 00:00:00+00:00
297,12139,597,11035,507,2020-06-13 00:00:00+00:00
298,187,0,187,0,2020-06-13 00:00:00+00:00
299,13,0,13,0,2020-06-13 00:00:00+00:00
300,12193,597,11068,528,2020-06-14 00:00:00+00:00
301,187,0,187,0,2020-06-14 00:00:00+00:00
302,13,0,13,0,2020-06-14 00:00:00+00:00
303,12217,598,11090,529,2020-06-15 00:00:00+00:00
304,187,0,187,0,2020-06-15 00:00:00+00:00
305,13,0,13,0,2020-06-15 00:00:00+00:00
306,12250,598,11125,527,2020-06-16 00:00:00+00:00
307,187,0,187,0,2020-06-16 00:00:00+00:00
308,13,0,13,0,2020-06-16 00:00:00+00:00
309,12294,598,11185,511,2020-06-17 00:00:00+00:00
310,187,0,187,0,2020-06-17 00:00:00+00:00
311,13,0,13,0,2020-06-17 00:00:00+00:00
312,12344,600,11242,502,2020-06-18 00:00:00+00:00
313,187,0,187,0,2020-06-18 00:00:00+00:00
314,13,0,13,0,2020-06-18 00:00:00+00:00
315,12391,600,11282,509,2020-06-19 00:00:00+00:00
316,187,0,187,0,2020-06-19 00:00:00+00:00
317,13,0,13,0,2020-06-19 00:00:00+00:00
318,12391,600,11282,509,2020-06-20 00:00:00+00:00
319,187,0,187,0,2020-06-20 00:00:00+00:00
320,13,0,13,0,2020-06-20 00:00:00+00:00
321,12391,600,11282,509,2020-06-21 00:00:00+00:00
322,187,0,187,0,2020-06-21 00:00:00+00:00
323,13,0,13,0,2020-06-21 00:00:00+00:00
324,12527,602,11347,578,2020-06-22 00:00:00+00:00
325,187,0,187,0,2020-06-22 00:00:00+00:00
326,13,0,13,0,2020-06-22 00:00:00+00:00
327,12561,603,11393,565,2020-06-23 00:00:00+00:00
328,187,0,187,0,2020-06-23 00:00:00+00:00
329,13,0,13,0,2020-06-23 00:00:00+00:00
