,CN_Confirmed,CN_Deaths,CN_Recovered,CN_Active,Date
185,173,0,3,170,2020-01-28 00:00:00+00:00
186,8,0,0,8,2020-01-28 00:00:00+00:00
187,34,0,0,34,2020-01-28 00:00:00+00:00
188,7,0,0,7,2020-01-28 00:00:00+00:00
189,11,0,0,11,2020-01-28 00:00:00+00:00
190,6,0,0,6,2020-01-28 00:00:00+00:00
191,46,0,0,46,2020-01-28 00:00:00+00:00
192,95,0,0,95,2020-01-28 00:00:00+00:00
193,66,1,4,61,2020-01-28 00:00:00+00:00
194,27,0,0,27,2020-01-28 00:00:00+00:00
195,106,0,0,106,2020-01-28 00:00:00+00:00
196,91,1,4,86,2020-01-28 00:00:00+00:00
197,132,0,0,132,2020-01-28 00:00:00+00:00
198,80,0,0,80,2020-01-28 00:00:00+00:00
199,19,0,0,19,2020-01-28 00:00:00+00:00
200,207,0,4,203,2020-01-28 00:00:00+00:00
201,51,0,2,49,2020-01-28 00:00:00+00:00
202,9,0,0,9,2020-01-28 00:00:00+00:00
203,40,1,0,39,2020-01-28 00:00:00+00:00
204,33,1,0,32,2020-01-28 00:00:00+00:00
205,33,1,0,32,2020-01-28 00:00:00+00:00
206,168,1,0,167,2020-01-28 00:00:00+00:00
207,8,0,0,8,2020-01-28 00:00:00+00:00
208,3554,125,80,3349,2020-01-28 00:00:00+00:00
209,143,0,0,143,2020-01-28 00:00:00+00:00
210,15,0,0,15,2020-01-28 00:00:00+00:00
211,70,0,1,69,2020-01-28 00:00:00+00:00
212,109,0,3,106,2020-01-28 00:00:00+00:00
213,38,1,0,37,2020-01-29 00:00:00+00:00
214,206,2,1,203,2020-01-29 00:00:00+00:00
215,10,0,0,10,2020-01-29 00:00:00+00:00
216,3554,125,88,3341,2020-01-29 00:00:00+00:00
217,221,0,0,221,2020-01-29 00:00:00+00:00
218,16,0,0,16,2020-01-29 00:00:00+00:00
219,99,0,1,98,2020-01-29 00:00:00+00:00
220,109,0,3,106,2020-01-29 00:00:00+00:00
221,9,0,0,9,2020-01-29 00:00:00+00:00
222,39,0,1,38,2020-01-29 00:00:00+00:00
223,7,0,0,7,2020-01-29 00:00:00+00:00
224,12,0,0,12,2020-01-29 00:00:00+00:00
225,6,0,0,6,2020-01-29 00:00:00+00:00
226,56,0,0,56,2020-01-29 00:00:00+00:00
227,130,0,1,129,2020-01-29 00:00:00+00:00
228,96,1,5,90,2020-01-29 00:00:00+00:00
229,27,0,1,26,2020-01-29 00:00:00+00:00
230,108,1,1,106,2020-01-29 00:00:00+00:00
231,27,0,0,27,2020-01-29 00:00:00+00:00
232,13,0,0,13,2020-01-29 00:00:00+00:00
233,55,0,0,55,2020-01-29 00:00:00+00:00
234,296,0,3,293,2020-01-29 00:00:00+00:00
235,152,0,2,150,2020-01-29 00:00:00+00:00
236,111,1,4,106,2020-01-29 00:00:00+00:00
237,147,0,1,146,2020-01-29 00:00:00+00:00
238,84,0,0,84,2020-01-29 00:00:00+00:00
239,24,0,0,24,2020-01-29 00:00:00+00:00
240,277,0,5,272,2020-01-29 00:00:00+00:00
241,58,0,2,56,2020-01-29 00:00:00+00:00
242,9,0,1,8,2020-01-29 00:00:00+00:00
243,43,1,0,42,2020-01-29 00:00:00+00:00
244,48,1,0,47,2020-01-29 00:00:00+00:00
245,200,0,2,198,2020-01-30 00:00:00+00:00
246,114,1,4,109,2020-01-30 00:00:00+00:00
247,182,0,1,181,2020-01-30 00:00:00+00:00
248,101,0,0,101,2020-01-30 00:00:00+00:00
249,26,0,0,26,2020-01-30 00:00:00+00:00
250,354,0,10,344,2020-01-30 00:00:00+00:00
251,78,0,2,76,2020-01-30 00:00:00+00:00
252,12,0,1,11,2020-01-30 00:00:00+00:00
253,46,1,1,44,2020-01-30 00:00:00+00:00
254,65,1,0,64,2020-01-30 00:00:00+00:00
255,14,0,1,13,2020-01-30 00:00:00+00:00
256,41,0,1,40,2020-01-30 00:00:00+00:00
257,7,0,0,7,2020-01-30 00:00:00+00:00
258,17,0,0,17,2020-01-30 00:00:00+00:00
259,8,0,0,8,2020-01-30 00:00:00+00:00
260,63,0,0,63,2020-01-30 00:00:00+00:00
261,158,0,1,157,2020-01-30 00:00:00+00:00
262,112,1,5,106,2020-01-30 00:00:00+00:00
263,35,0,1,34,2020-01-30 00:00:00+00:00
264,44,2,0,42,2020-01-30 00:00:00+00:00
265,278,2,2,274,2020-01-30 00:00:00+00:00
266,10,0,0,10,2020-01-30 00:00:00+00:00
267,4903,162,90,4651,2020-01-30 00:00:00+00:00
268,277,0,2,275,2020-01-30 00:00:00+00:00
269,19,0,0,19,2020-01-30 00:00:00+00:00
270,129,0,1,128,2020-01-30 00:00:00+00:00
271,162,0,5,157,2020-01-30 00:00:00+00:00
272,142,1,1,140,2020-01-30 00:00:00+00:00
273,31,0,0,31,2020-01-30 00:00:00+00:00
274,1,0,0,1,2020-01-30 00:00:00+00:00
275,14,0,0,14,2020-01-30 00:00:00+00:00
276,70,0,0,70,2020-01-30 00:00:00+00:00
277,428,0,4,424,2020-01-30 00:00:00+00:00
278,177,1,1,175,2020-01-31 00:00:00+00:00
